Decoder=3
🍎4GTV,#genre#
民視第一台,http://141.11.86.78/4gtv/4gtv.php?ch=1
民視台灣台,http://141.11.86.78/4gtv/4gtv.php?ch=2
民視,http://141.11.86.78/4gtv/4gtv.php?ch=3
大愛電視,http://141.11.86.78/4gtv/4gtv.php?ch=209
中視,http://141.11.86.78/4gtv/4gtv.php?ch=4
中視經典台,http://141.11.86.78/4gtv/4gtv.php?ch=124
華視,hhttp://141.11.86.78/4gtv/4gtv.php?ch=6
三立綜合台,http://141.11.86.78/4gtv/4gtv.php?ch=169
客家電視台,http://141.11.86.78/4gtv/4gtv.php?ch=107
八大綜藝台,http://141.11.86.78/4gtv/4gtv.php?ch=114
中視菁采台,http://141.11.86.78/4gtv/4gtv.php?ch=123
TVBS精采台,http://141.11.86.78/4gtv/4gtv.php?ch=227
愛爾達娛樂台,http://141.11.86.78/4gtv/4gtv.php?ch=19
靖天綜合台,http://141.11.86.78/4gtv/4gtv.php?ch=21
靖天日本台,http://141.11.86.78/4gtv/4gtv.php?ch=22
新唐人亞太台,http://141.11.86.78/4gtv/4gtv.php?ch=223
ARIRANG阿里郎頻道,http://141.11.86.78/4gtv/4gtv.php?ch=189
Global Trekker,http://141.11.86.78/4gtv/4gtv.php?ch=252
原住民族電視台,http://141.11.86.78/4gtv/4gtv.php?ch=273
東森購物四台,http://141.11.86.78/4gtv/4gtv.php?ch=286
LiveABC互動英語頻道,http://141.11.86.78/4gtv/4gtv.php?ch=188
達文西頻道,http://141.11.86.78/4gtv/4gtv.php?ch=11
ELTV生活英語台,http://141.11.86.78/4gtv/4gtv.php?ch=106
Nick Jr. 兒童頻道,http://141.11.86.78/4gtv/4gtv.php?ch=219
尼克兒童頻道,http://141.11.86.78/4gtv/4gtv.php?ch=185
DreamWorks 夢工廠動畫,http://141.11.86.78/4gtv/4gtv.php?ch=282
靖天卡通台,http://141.11.86.78/4gtv/4gtv.php?ch=15
靖洋卡通Nice Bingo,http://141.11.86.78/4gtv/4gtv.php?ch=59
i-Fun動漫台,http://141.11.86.78/4gtv/4gtv.php?ch=60
MOMO親子台,http://141.11.86.78/4gtv/4gtv.php?ch=231
東森購物一台,http://141.11.86.78/4gtv/4gtv.php?ch=173
鏡電視新聞台,http://141.11.86.78/4gtv/4gtv.php?ch=268
東森新聞台,http://141.11.86.78/4gtv/4gtv.php?ch=292
華視新聞,http://141.11.86.78/4gtv/4gtv.php?ch=34
民視新聞台,http://141.11.86.78/4gtv/4gtv.php?ch=31
三立新聞iNEWS,http://141.11.86.78/4gtv/4gtv.php?ch=229
TVBS新聞,http://141.11.86.78/4gtv/4gtv.php?ch=291
