香港✴️,#genre#
翡翠台,http://120.53.103.239/五七.php?id=1
明珠台,http://120.53.103.239/五七.php?id=2
无线新闻台,http://120.53.103.239/五七.php?id=3
HOY资讯台,http://120.53.103.239/五七.php?id=4
HOYTV,http://120.53.103.239/五七.php?id=5
香港国际财经台,http://120.53.103.239/五七.php?id=6
Now新闻台,http://120.53.103.239/五七.php?id=8
Now财经台,http://120.53.103.239/五七.php?id=9
Viutv,http://120.53.103.239/五七.php?id=10
Viutv 6,http://120.53.103.239/五七.php?id=11
TVB Plus,http://120.53.103.239/五七.php?id=13
港台31,http://120.53.103.239/五七.php?id=14
港台32,http://120.53.103.239/五七.php?id=15
凤凰中文,http://120.53.103.239/五七.php?id=16
凤凰资讯,http://120.53.103.239/五七.php?id=17
凤凰香港,http://120.53.103.239/五七.php?id=18
有线18,http://120.53.103.239/五七.php?id=19
MYTV18跑马,http://120.53.103.239/五七.php?id=20
黄金翡翠台,http://120.53.103.239/五七.php?id=21
千禧经典台,http://120.53.103.239/五七.php?id=22
亚洲剧台,http://120.53.103.239/五七.php?id=23
华语剧台,http://120.53.103.239/五七.php?id=24
KIX,http://120.53.103.239/五七.php?id=25
娱乐新闻台,http://120.53.103.239/五七.php?id=26
亚洲综合娱乐台,http://120.53.103.239/五七.php?id=27
戏曲台,http://120.53.103.239/五七.php?id=28
Hands UP,http://120.53.103.239/五七.php?id=29
粤语片台,http://120.53.103.239/五七.php?id=30
美亚电影HK,http://120.53.103.239/五七.php?id=31
POPC中国网络电影频道,http://120.53.103.239/五七.php?id=1210
Animax,http://120.53.103.239/五七.php?id=32
Now爆谷台,http://120.53.103.239/五七.php?id=44
Now星影台,http://120.53.103.239/五七.php?id=43
Now星影台CN,http://120.53.103.239/五七.php?id=1175
Now爆谷台CN,http://120.53.103.239/五七.php?id=1176
SUPER直播足球3台,http://120.53.103.239/五七.php?id=33
Now Sports 精選,http://120.53.103.239/五七.php?id=34
Now英超1台,http://120.53.103.239/五七.php?id=35
Now英超2 球赛开启直播,http://120.53.103.239/五七.php?id=502
Now英超3 球赛开启直播,http://120.53.103.239/五七.php?id=503
Now英超4 球赛开启直播,http://120.53.103.239/五七.php?id=504
Now英超5 球赛开启直播,http://120.53.103.239/五七.php?id=505
Now英超6 球赛开启直播,http://120.53.103.239/五七.php?id=508
Now Sport1,http://120.53.103.239/五七.php?id=36
Now Sport2,http://120.53.103.239/五七.php?id=37
Now Sport3,http://120.53.103.239/五七.php?id=38
Now Sport4,http://120.53.103.239/五七.php?id=39
Now Sport5,http://120.53.103.239/五七.php?id=40
Now Sport6,http://120.53.103.239/五七.php?id=41
Now Sport7,http://120.53.103.239/五七.php?id=42
黄金华剧台,http://120.53.103.239/五七.php?id=501
TVB功夫台,http://120.53.103.239/五七.php?id=500
Now华剧台,http://120.53.103.239/五七.php?id=46
NowJelli,http://120.53.103.239/五七.php?id=47
Now剧集台,http://120.53.103.239/五七.php?id=45
Now Sports Plus,http://120.53.103.239/五七.php?id=1177
ZooMoo,http://120.53.103.239/五七.php?id=1178
Nickelodeon,http://120.53.103.239/五七.php?id=1179
Nick Jr,http://120.53.103.239/五七.php?id=1180
Thrill,http://120.53.103.239/五七.php?id=1181
天映經典頻道,http://120.53.103.239/五七.php?id=1182
ROCK Action,http://120.53.103.239/五七.php?id=1183
Love Nature HD,http://120.53.103.239/五七.php?id=1184
Love Nature 4K,http://120.53.103.239/五七.php?id=1185
Global Trekker,http://120.53.103.239/五七.php?id=1186
ROCK綜藝娛樂,http://120.53.103.239/五七.php?id=1187
AXN,http://120.53.103.239/五七.php?id=1188
Tvn,http://120.53.103.239/五七.php?id=1189
GEM,http://120.53.103.239/五七.php?id=1191
Now sport641,http://120.53.103.239/五七.php?id=1171
NOW NBA TV,http://120.53.103.239/五七.php?id=1172
DreamWorks 頻道,http://120.53.103.239/五七.php?id=1209
Now直播台,http://120.53.103.239/五七.php?id=7

台湾✴️,#genre#
中视,http://120.53.103.239/五七.php?id=1458
中视新闻,http://120.53.103.239/五七.php?id=1459
中视经典,http://120.53.103.239/五七.php?id=1460
中视菁采,http://120.53.103.239/五七.php?id=1461
公视,http://120.53.103.239/五七.php?id=1462
小公视,http://120.53.103.239/五七.php?id=1463
公视戏剧,http://120.53.103.239/五七.php?id=1464
公视台语台,http://120.53.103.239/五七.php?id=1465
公视新闻网,http://120.53.103.239/五七.php?id=1466
民视,http://120.53.103.239/五七.php?id=1467
民视第一台,http://120.53.103.239/五七.php?id=1468
民视台湾台,http://120.53.103.239/五七.php?id=1469
民视新闻台,http://120.53.103.239/五七.php?id=1470
民视影剧台,http://120.53.103.239/五七.php?id=1471
民视旅游台,http://120.53.103.239/五七.php?id=1472
民视综艺台,http://120.53.103.239/五七.php?id=1473
台视,http://120.53.103.239/五七.php?id=1474
台视新闻HD,http://120.53.103.239/五七.php?id=1475
台视综合,http://120.53.103.239/五七.php?id=1476
台视财经,http://120.53.103.239/五七.php?id=1477
台湾戏剧,http://120.53.103.239/五七.php?id=1478
华视,http://120.53.103.239/五七.php?id=1479
CTS华视新闻资讯,http://120.53.103.239/五七.php?id=1480
霹雳台湾台,http://120.53.103.239/五七.php?id=1481
壹新闻,http://120.53.103.239/五七.php?id=1482
壹电影,http://120.53.103.239/五七.php?id=1483
JET综合台,http://120.53.103.239/五七.php?id=1484
年代新闻,http://120.53.103.239/五七.php?id=1485
年代Much,http://120.53.103.239/五七.php?id=1486
非凡新闻,http://120.53.103.239/五七.php?id=1487
非凡商业,http://120.53.103.239/五七.php?id=1488
寰宇新闻,http://120.53.103.239/五七.php?id=1489
寰宇新闻台湾,http://120.53.103.239/五七.php?id=1490
寰宇财经,http://120.53.103.239/五七.php?id=1491
鏡新闻,http://120.53.103.239/五七.php?id=1492
东森超视美洲,http://120.53.103.239/五七.php?id=1493
东森美洲,http://120.53.103.239/五七.php?id=1494
东森美洲卫视,http://120.53.103.239/五七.php?id=1495
东森中国台,http://120.53.103.239/五七.php?id=1496
东森超视,http://120.53.103.239/五七.php?id=1497
东森亚洲,http://120.53.103.239/五七.php?id=1498
东森综合,http://120.53.103.239/五七.php?id=1499
东森新闻,http://120.53.103.239/五七.php?id=1500
东森财经,http://120.53.103.239/五七.php?id=1501
东森LIVE,http://120.53.103.239/五七.php?id=1502
东森电影,http://120.53.103.239/五七.php?id=1503
东森洋片,http://120.53.103.239/五七.php?id=1504
东森戏剧,http://120.53.103.239/五七.php?id=1505
东森幼幼,http://120.53.103.239/五七.php?id=1506
东森亚洲幼幼,http://120.53.103.239/五七.php?id=1507
MOMO綜合台,http://120.53.103.239/五七.php?id=1508
MOMO亲子台,http://120.53.103.239/五七.php?id=1509
MOMO台,http://120.53.103.239/五七.php?id=1510
国兴卫视,http://120.53.103.239/五七.php?id=1511
龙祥时代,http://120.53.103.239/五七.php?id=1512
龙华偶像,http://120.53.103.239/五七.php?id=1513
龙华电视,http://120.53.103.239/五七.php?id=1514
龙华戏剧,http://120.53.103.239/五七.php?id=1515
龙华日韩,http://120.53.103.239/五七.php?id=1516
龙华电影,http://120.53.103.239/五七.php?id=1517
龙华影剧,http://120.53.103.239/五七.php?id=1518
龙华洋片,http://120.53.103.239/五七.php?id=1519
龙华卡通,http://120.53.103.239/五七.php?id=1520
龙华经典,http://120.53.103.239/五七.php?id=1521
三立都会台,http://120.53.103.239/五七.php?id=1522
三立综合台,http://120.53.103.239/五七.php?id=1523
三立台湾台,http://120.53.103.239/五七.php?id=1524
三立戏剧台,http://120.53.103.239/五七.php?id=1525
三立新闻台,http://120.53.103.239/五七.php?id=1526
三立iNEWS,http://120.53.103.239/五七.php?id=1527
三立国际台,http://120.53.103.239/五七.php?id=1528
LIVE三立,http://120.53.103.239/五七.php?id=1529
中天新闻,http://120.53.103.239/五七.php?id=1530
CTI+中天2台,http://120.53.103.239/五七.php?id=1531
中天综合,http://120.53.103.239/五七.php?id=1532
中天娱乐,http://120.53.103.239/五七.php?id=1533
纬来综合,http://120.53.103.239/五七.php?id=1534
纬来精彩,http://120.53.103.239/五七.php?id=1535
纬来戏剧,http://120.53.103.239/五七.php?id=1536
纬来日本,http://120.53.103.239/五七.php?id=1537
纬来育乐,http://120.53.103.239/五七.php?id=1538
纬来电影,http://120.53.103.239/五七.php?id=1539
纬来体育,http://120.53.103.239/五七.php?id=1540
八大第一台,http://120.53.103.239/五七.php?id=1541
八大戏剧台,http://120.53.103.239/五七.php?id=1542
八大综合台,http://120.53.103.239/五七.php?id=1543
八大精彩台,http://120.53.103.239/五七.php?id=1544
八大娱乐台,http://120.53.103.239/五七.php?id=1545
TVBS新闻台,http://120.53.103.239/五七.php?id=1546
TVBS精采台,http://120.53.103.239/五七.php?id=1547
TVBS欢乐台,http://120.53.103.239/五七.php?id=1548
