
臺灣 Taiwan,#genre#
AXN, http://xyt.186738613.xyz/Smartv.php?id=axn_twn
CINEMAX, http://xyt.186738613.xyz/Smartv.php?id=cinemax_twn
EYE戲劇, http://xyt.186738613.xyz/Smartv.php?id=eyetvxiju_twn
EYE旅遊, http://xyt.186738613.xyz/Smartv.php?id=eyetvtravel_twn
HBO, http://xyt.186738613.xyz/Smartv.php?id=hbohd_twn
HBO Family, http://xyt.186738613.xyz/Smartv.php?id=fyi_twn
好萊塢電影台, http://xyt.186738613.xyz/Smartv.php?id=hollywoodmovies_twn
MTV Live, http://xyt.186738613.xyz/Smartv.php?id=mtvhd_twn
TLC旅遊生活, http://xyt.186738613.xyz/Smartv.php?id=tlc_twn
東森新聞, http://xyt.186738613.xyz/Smartv.php?id=ettvnews
TVBS HD, http://xyt.186738613.xyz/Smartv.php?id=tvbs
TVBS新聞台, http://xyt.186738613.xyz/Smartv.php?id=tvbs_n
TVBS歡樂台, http://xyt.186738613.xyz/Smartv.php?id=tvbshuanle_twn
三立台灣台, http://xyt.186738613.xyz/Smartv.php?id=sanlitaiwan
三立戲劇台, http://xyt.186738613.xyz/Smartv.php?id=sanlixiju_twn
三立綜合台, http://xyt.186738613.xyz/Smartv.php?id=sanlizhonghe
中天亞洲台, http://xyt.186738613.xyz/Smartv.php?id=ctiasia_twn
中天娱樂, http://xyt.186738613.xyz/Smartv.php?id=ctient
中天新聞HD, http://xyt.186738613.xyz/Smartv.php?id=ctinews
中天綜合, http://xyt.186738613.xyz/Smartv.php?id=ctizhonghe
亞洲旅遊台, http://xyt.186738613.xyz/Smartv.php?id=asiatravel_twn
亞洲美食, http://xyt.186738613.xyz/Smartv.php?id=afc_twn
八大戲劇, http://xyt.186738613.xyz/Smartv.php?id=badadrama
八大第一, http://xyt.186738613.xyz/Smartv.php?id=badafirst
八大綜合, http://xyt.186738613.xyz/Smartv.php?id=badazhonghe
公視, http://xyt.186738613.xyz/Smartv.php?id=ctv_taiwan
民視, http://xyt.186738613.xyz/Smartv.php?id=ftvhd_taiwan
民視第一台, http://xyt.186738613.xyz/Smartv.php?id=lunghuajingdian_twn
民視台灣台, http://xyt.186738613.xyz/Smartv.php?id=ftvtaiwan_twn
民視新聞台, http://xyt.186738613.xyz/Smartv.php?id=ftvnew_taiwan
台視, http://xyt.186738613.xyz/Smartv.php?id=ttv_taiwan
台視新聞台, http://xyt.186738613.xyz/Smartv.php?id=ttvnews_twn
中視, http://xyt.186738613.xyz/Smartv.php?id=zhongshihd_twn
中視新聞台, http://xyt.186738613.xyz/Smartv.php?id=zhongshinews_twn
中視經典, http://xyt.186738613.xyz/Smartv.php?id=zhongshi_twn
華視, http://xyt.186738613.xyz/Smartv.php?id=ctshd_twn
華藝綜合, http://xyt.186738613.xyz/Smartv.php?id=weishichinese_twn
大愛一台, http://xyt.186738613.xyz/Smartv.php?id=daai_twn
寰宇新聞台, http://xyt.186738613.xyz/Smartv.php?id=huanyuxinwen_twn
寰宇財經台, http://xyt.186738613.xyz/Smartv.php?id=huanyutaiwan_twn
年代新聞台, http://xyt.186738613.xyz/Smartv.php?id=niandainews_twn
愛爾達影劇, http://xyt.186738613.xyz/Smartv.php?id=eltayingju_twn
愛爾達體育 1, http://xyt.186738613.xyz/Smartv.php?id=eltasport_twn
愛爾達體育 2, http://xyt.186738613.xyz/Smartv.php?id=eltasport2_twn
愛爾達體育 3, http://xyt.186738613.xyz/Smartv.php?id=eltasport3_twn
ELEVEN 1, http://xyt.186738613.xyz/Smartv.php?id=golfchannel_twn
博斯網球, http://xyt.186738613.xyz/Smartv.php?id=bositennis_twn
博斯運動1, http://xyt.186738613.xyz/Smartv.php?id=bosisport1_twn
博斯運動2, http://xyt.186738613.xyz/Smartv.php?id=bosisport2_twn
博斯高球1, http://xyt.186738613.xyz/Smartv.php?id=bosigolf1_twn
博斯高球2, http://xyt.186738613.xyz/Smartv.php?id=bosigolf2_twn
探索亞洲, http://xyt.186738613.xyz/Smartv.php?id=discoverytwn_twn
探索動力, http://xyt.186738613.xyz/Smartv.php?id=discoveryturbo_twn
國家地理, http://xyt.186738613.xyz/Smartv.php?id=natgeohd_twn
野生動物, http://xyt.186738613.xyz/Smartv.php?id=natgeowild_twn
動物星球, http://xyt.186738613.xyz/Smartv.php?id=animalplanet_twn
時尚, http://xyt.186738613.xyz/Smartv.php?id=fashiontv_twn
Discovery Asia, http://xyt.186738613.xyz/Smartv.php?id=discoverytwn_twn
Discovery HD, http://xyt.186738613.xyz/Smartv.php?id=discoveryhd_twn
東森戲劇, http://xyt.186738613.xyz/Smartv.php?id=ettvdrama
東森洋片, http://xyt.186738613.xyz/Smartv.php?id=ettvwestern
東森綜合, http://xyt.186738613.xyz/Smartv.php?id=ettvzhonghe
東森財經新聞, http://xyt.186738613.xyz/Smartv.php?id=ettvcaijing_twn
東森電影, http://xyt.186738613.xyz/Smartv.php?id=ettvmovie
緯來日本台, http://xyt.186738613.xyz/Smartv.php?id=videolandjapan
緯來體育台, http://xyt.186738613.xyz/Smartv.php?id=videolandsport
美亞電影, http://xyt.186738613.xyz/Smartv.php?id=meiyamovie_twn
BBC World News, http://xyt.186738613.xyz/Smartv.php?id=bbcnews_twn
Bloomberg News, http://xyt.186738613.xyz/Smartv.php?id=bloomberg_twn
Fox News, http://xyt.186738613.xyz/Smartv.php?id=foxnews_twn
阿里郎, http://xyt.186738613.xyz/Smartv.php?id=arirang_twn
CN卡通, http://xyt.186738613.xyz/Smartv.php?id=momo1_twn
靖天卡通台, http://xyt.186738613.xyz/Smartv.php?id=jingtiancartoon_twn
靖天國際台, http://xyt.186738613.xyz/Smartv.php?id=jingtianintl_twn
非凡新聞台, http://xyt.186738613.xyz/Smartv.php?id=feifannews_twn
龍祥時代, http://xyt.186738613.xyz/Smartv.php?id=lungxiangtime_twn
龍華偶像, http://xyt.186738613.xyz/Smartv.php?id=lunghuaidol_twn
龍華戲劇, http://xyt.186738613.xyz/Smartv.php?id=lunghuaxiju_twn
龍華洋片, http://xyt.186738613.xyz/Smartv.php?id=lunghuawestern_twn
龍華經典, http://xyt.186738613.xyz/Smartv.php?id=lunghuajingdian_twn
龍華電影, http://xyt.186738613.xyz/Smartv.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1, http://xyt.186738613.xyz/Smartv.php?id=TV1
TV1(備用), http://xyt.186738613.xyz/Smartv.php?id=TV1_backup
TV2, http://xyt.186738613.xyz/Smartv.php?id=TV2
TV3, http://xyt.186738613.xyz/Smartv.php?id=TV3
TV3(備用), http://xyt.186738613.xyz/Smartv.php?id=tv3_twn
NTV7, http://xyt.186738613.xyz/Smartv.php?id=NTV7
TV8, http://xyt.186738613.xyz/Smartv.php?id=TV8
TV9, http://xyt.186738613.xyz/Smartv.php?id=TV9
Warna, http://xyt.186738613.xyz/Smartv.php?id=Warna-O
Warna(備用), http://xyt.186738613.xyz/Smartv.php?id=Warna
Ria, http://xyt.186738613.xyz/Smartv.php?id=Ria-0
Ria(備用), http://xyt.186738613.xyz/Smartv.php?id=Ria49
Ria-3, http://xyt.186738613.xyz/Smartv.php?id=Ria_quanjia
Al-Hijrah, http://xyt.186738613.xyz/Smartv.php?id=Alhijrah
Al-Hijrah(備用), http://xyt.186738613.xyz/Smartv.php?id=Alhijrah_backup
Awani, http://xyt.186738613.xyz/Smartv.php?id=Awani
Bernama, http://xyt.186738613.xyz/Smartv.php?id=Bernama
Prima, http://xyt.186738613.xyz/Smartv.php?id=Prima-0
Prima(備用), http://xyt.186738613.xyz/Smartv.php?id=Prima49
Ceria, http://xyt.186738613.xyz/Smartv.php?id=Ceria
Astro MTV, http://xyt.186738613.xyz/Smartv.php?id=AstroMTV
Mecca Live HD, http://xyt.186738613.xyz/Smartv.php?id=quran_mido
