🍁湾湾37,#genre#
TW,http://37.27.111.214:8080/live/29/hls.m3u8
民視第一,http://37.27.111.214:8080/live/4/hls.m3u8
民視台灣,http://37.27.111.214:8080/live/5/hls.m3u8
龍華電影,http://37.27.111.214:8080/live/19/hls.m3u8
CMUSIC音樂,http://37.27.111.214:8080/live/72/hls.m3u8
博斯運動1,http://37.27.111.214:8080/live/14/hls.m3u8
TVBS歡樂,http://37.27.111.214:8080/live/24/hls.m3u8
博斯高球1,http://37.27.111.214:8080/live/13/hls.m3u8
TG群@S2024TW,http://37.27.111.214:8080/live/16/hls.m3u8
東森新聞,http://37.27.111.214:8080/live/20/hls.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
三立,http://37.27.111.214:8080/live/31/hls.m3u8
民视湾,http://37.27.111.214:8080/live/5/hls.m3u8
龙华日韩,http://37.27.111.214:8080/live/42/hls.m3u8
龙华戏剧,http://37.27.111.214:8080/live/41/hls.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
中视经典,http://37.27.111.214:8080/live/47/hls.m3u8
中视青采,http://37.27.111.214:8080/live/48/hls.m3u8
寰宇湾,http://37.27.111.214:8080/live/63/hls.m3u8
公视戏剧,http://37.27.111.214:8080/live/87/hls.m3u8
CINEMA WORLD,http://37.27.111.214:8080/live/30/hls.m3u8
全球财经,http://37.27.111.214:8080/live/64/hls.m3u8
華視新聞,http://37.27.111.214:8080/live/8/hls.m3u8
互動英語,http://37.27.111.214:8080/live/54/hls.m3u8
Nickelodeon,http://37.27.111.214:8080/live/12/hls.m3u8
CinemaWorld,http://37.27.111.214:8080/live/30/hls.m3u8
LOVE NATURE,http://37.27.111.214:8080/live/84/hls.m3u8
ROCK ACTION,http://37.27.111.214:8080/live/94/hls.m3u8
TECH STORM,http://37.27.111.214:8080/live/80/hls.m3u8
剧3,http://37.27.111.214:8080/live/111/hls.m3u8
哆啦A梦,http://37.27.111.214:8080/live/107/hls.m3u8
剧2,http://37.27.111.214:8080/live/109/hls.m3u8
镜新闻,http://37.27.111.214:8080/live/62/hls.m3u8
BLOOMBERG,http://37.27.111.214:8080/live/34/hls.m3u8
豬哥亮,http://37.27.111.214:8080/live/35/hls.m3u8
剧,http://37.27.111.214:8080/live/108/hls.m3u8
探案,http://37.27.111.214:8080/live/11/hls.m3u8
DW NEWS,http://37.27.111.214:8080/live/46/hls.m3u8
HISTORY,http://37.27.111.214:8080/live/27/hls.m3u8
hokkotv,http://37.27.111.214:8080/live/1/hls.m3u8
电影,http://37.27.111.214:8080/live/11/hls.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
中视,http://37.27.111.214:8080/live/7/hls.m3u8
华视,http://37.27.111.214:8080/live/8/hls.m3u8
影迷,http://37.27.111.214:8080/live/92/hls.m3u8
中視,http://37.27.111.214:8080/live/7/hls.m3u8
超人,http://37.27.111.214:8080/live/110/hls.m3u8
综艺,http://37.27.111.214:8080/live/67/hls.m3u8
影剧,http://37.27.111.214:8080/live/88/hls.m3u8
旅游,http://37.27.111.214:8080/live/82/hls.m3u8
民視,http://37.27.111.214:8080/live/6/hls.m3u8
KOREA,http://37.27.111.214:8080/live/52/hls.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
ROCK,http://37.27.111.214:8080/live/70/hls.m3u8
HITS,http://37.27.111.214:8080/live/28/hls.m3u8
CNBC,http://37.27.111.214:8080/live/102/hls.m3u8
momo,http://37.27.111.214:8080/live/3/hls.m3u8
LUXE,http://37.27.111.214:8080/live/86/hls.m3u8
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
MCE,http://37.27.111.214:8080/live/98/hls.m3u8
VOA,http://37.27.111.214:8080/live/45/hls.m3u8
elta生活旅游,http://37.27.111.214:8080/live/85/hls.m3u8
亞洲旅遊,http://37.27.111.214:8080/live/10/hls.m3u8
靖洋戲劇,http://37.27.111.214:8080/live/17/hls.m3u8
靖天電影,http://37.27.111.214:8080/live/18/hls.m3u8
寰宇财经,http://37.27.111.214:8080/live/65/hls.m3u8
智林体育,http://37.27.111.214:8080/live/77/hls.m3u8
東森購物,http://37.27.111.214:8080/live/66/hls.m3u8
人间卫视,http://37.27.111.214:8080/live/101/hls.m3u8
八大綜合,http://37.27.111.214:8080/live/21/hls.m3u8
幸福空間,http://37.27.111.214:8080/live/26/hls.m3u8
東森購物,http://37.27.111.214:8080/live/61/hls.m3u8
博斯無限,http://37.27.111.214:8080/live/15/hls.m3u8
LIFE TIME,http://37.27.111.214:8080/live/71/hls.m3u8
動畫,http://37.27.111.214:8080/live/57/hls.m3u8
新唐人,http://37.27.111.214:8080/live/51/hls.m3u8
TV5 MONDE,http://37.27.111.214:8080/live/9/hls.m3u8
PET CLUB,http://37.27.111.214:8080/live/81/hls.m3u8
FESTIVAL,http://37.27.111.214:8080/live/83/hls.m3u8
动漫2,http://37.27.111.214:8080/live/106/hls.m3u8
HakkaTV,http://37.27.111.214:8080/live/1/hls.m3u8
动漫,http://37.27.111.214:8080/live/105/hls.m3u8
nickjr,http://37.27.111.214:8080/live/22/hls.m3u8
CNBC,http://37.27.111.214:8080/live/102/hls.m3u8
居家,http://37.27.111.214:8080/live/26/hls.m3u8
GOOD2,http://37.27.111.214:8080/live/99/hls.m3u8
TiTV,http://37.27.111.214:8080/live/2/hls.m3u8
BBC,https://bbceu-doctorwho-3-fr.rakuten.wurl.tv/playlist.m3u8
BBC,https://bbceu-doctorwho-3-fr.rakuten.wurl.tv/playlist.m3u8
🍁台湾61,#genre#
TW,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHK世界,http://61.221.215.25:8800/hls/51/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
DW,http://61.221.215.25:8800/hls/1/index.m3u8
時尚FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
好消息綜合,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
动物世界 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
大爱一,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
大立,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
