台灣頻道,#genre#
民視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=336
民視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2805
台視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=27
台視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=326
台視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=312
中視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=333
中視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1041
華視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=32
華視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2282
公視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=86
公視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=28
好消息,https://hlspull.iptv8k.top/iptv/ubtv.php?id=104
客家電視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=76
緯來綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2726
八大第一,https://hlspull.iptv8k.top/iptv/ubtv.php?id=318
八大綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3258
八大綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2286
東風衛視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3262
三立臺灣,https://hlspull.iptv8k.top/iptv/ubtv.php?id=35
三立臺灣,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2436
三立臺灣,https://hlspull.iptv8k.top/iptv/ubtv.php?id=21
三立都會,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2435
三立都會,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1001
三立都會,https://hlspull.iptv8k.top/iptv/ubtv.php?id=38
東森綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=372
東森綜合-替,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3254
東森超視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=80
東森購物2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1156
中天綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3072
中天綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=54
中天娛樂,https://hlspull.iptv8k.top/iptv/ubtv.php?id=324
TVBS歡樂,https://hlspull.iptv8k.top/iptv/ubtv.php?id=40
八大精彩,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1024
JET綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=41
東森購物1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1155
TVBS,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2273
TVBS,https://hlspull.iptv8k.top/iptv/ubtv.php?id=16
緯來育樂,https://hlspull.iptv8k.top/iptv/ubtv.php?id=338
緯來育樂（測試）,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2772
緯來日本,https://hlspull.iptv8k.top/iptv/ubtv.php?id=337
緯來日本,https://hlspull.iptv8k.top/iptv/ubtv.php?id=46
國興衛視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=65
國興衛視-備,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3261
信大電視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=422
八大娱乐,https://hlspull.iptv8k.top/iptv/ubtv.php?id=105
公視3台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1340
好消息2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=363
高點綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=99
中天亞洲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2277
中天亞洲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=322
民視第一台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=34
民視台灣,https://hlspull.iptv8k.top/iptv/ubtv.php?id=36
龍華日韓,https://hlspull.iptv8k.top/iptv/ubtv.php?id=382
豬哥亮歌廳秀,https://hlspull.iptv8k.top/iptv/ubtv.php?id=75
豬哥會社,https://hlspull.iptv8k.top/iptv/ubtv.php?id=103
ELTA娛樂台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=351
韓國娛樂,https://hlspull.iptv8k.top/iptv/ubtv.php?id=73
靖天國際,https://hlspull.iptv8k.top/iptv/ubtv.php?id=345
靖天育樂,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1029
靖天日本,https://hlspull.iptv8k.top/iptv/ubtv.php?id=108
靖天歡樂,https://hlspull.iptv8k.top/iptv/ubtv.php?id=51
三立綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=315
三立綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2815
靖天資訊,https://hlspull.iptv8k.top/iptv/ubtv.php?id=49
靖天綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=308
中視經典,https://hlspull.iptv8k.top/iptv/ubtv.php?id=185
中視菁采,https://hlspull.iptv8k.top/iptv/ubtv.php?id=74
TVBS精采,https://hlspull.iptv8k.top/iptv/ubtv.php?id=66
TVBS精采,https://hlspull.iptv8k.top/iptv/ubtv.php?id=117
年代much,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1359
ELTA綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1137
TVN台湾版,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2288
東森購物3,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1584
MOMO購物1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1585
MOMO購物2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1586
美好購物1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1591
美好購物2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1592
大立電視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1593
國會頻道１,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2614
國會頻道2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=420
海豚綜合,https://hlspull.iptv8k.top/iptv/ubtv.php?id=262
台灣地震監視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2637
中視經典綜藝,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2773
第一名電視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=216
誠心電視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=495
萬秀豬王,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2978
三立新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=43
三立新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2794
三立新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2392
三立新聞+,https://hlspull.iptv8k.top/iptv/ubtv.php?id=320
東森新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1025
東森新聞4,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2766
東森新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1358
東森新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2393
東森亞洲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3
中天新聞2台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=152
中天新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2420
民視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2395
民視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=13
TVBS新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2736
TVBS新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2
TVBS新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2396
東森財經,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2397
東森財經,https://hlspull.iptv8k.top/iptv/ubtv.php?id=12
華視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2424
台視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2399
台視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1
中視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2400
寰宇新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2401
寰宇新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=304
寰宇財經,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2536
公視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=20
寰宇臺灣,https://hlspull.iptv8k.top/iptv/ubtv.php?id=87
年代新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2719
年代新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1099
壹新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2777
台視財經,https://hlspull.iptv8k.top/iptv/ubtv.php?id=300
鏡新聞mnews,https://hlspull.iptv8k.top/iptv/ubtv.php?id=463
三立国際,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2285
CBN News,https://hlspull.iptv8k.top/iptv/ubtv.php?id=499
東森戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2825
東森戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=321
八大戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=81
緯來戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2727
緯來戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=339
東森電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=350
東森電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2720
緯來電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2728
緯來電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3252
HBO HD,https://hlspull.iptv8k.top/iptv/ubtv.php?id=332
HBO HD,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2823
東森洋片,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1128
壹電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2284
好萊塢電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=37
愛爾達影劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=500
CineMAX,https://hlspull.iptv8k.top/iptv/ubtv.php?id=346
靖天映畫,https://hlspull.iptv8k.top/iptv/ubtv.php?id=349
靖洋戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=319
緯來精彩,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2280
EYE戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=191
三立戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=64
三立戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2819
龍華偶像,https://hlspull.iptv8k.top/iptv/ubtv.php?id=385
霹靂臺灣,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1339
靖天電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=110
美亞電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=375
HBOSignature,https://hlspull.iptv8k.top/iptv/ubtv.php?id=329
HBOSignature,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2824
HBO Hits,https://hlspull.iptv8k.top/iptv/ubtv.php?id=330
采昌影劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=62
采昌影劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2804
影迷數位電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=497
影迷數位電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2800
龍華戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=365
龍華戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2796
龍華經典,https://hlspull.iptv8k.top/iptv/ubtv.php?id=100
龍翔時代,https://hlspull.iptv8k.top/iptv/ubtv.php?id=373
AXN臺灣,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2816
天映經典,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2289
公視戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=69
AXN亞洲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1066
Trill恐怖電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=18
龍華電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=311
華納電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=83
靖天戲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=109
龍華洋片,https://hlspull.iptv8k.top/iptv/ubtv.php?id=341
飢餓遊戲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=264
ELTA體育1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2729
ELTA體育1-備,https://hlspull.iptv8k.top/iptv/ubtv.php?id=192
ELTA體育2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2730
ELTA體育2-備,https://hlspull.iptv8k.top/iptv/ubtv.php?id=193
ELTA體育3-備2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=194
ELTA體育3,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2731
ELTA體育3台-備,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2722
ELTA體育4,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2820
ELTA體育4-備,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3255
緯來體育,https://hlspull.iptv8k.top/iptv/ubtv.php?id=118
緯來體育,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2732
Eleven Sport 1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3224
Eleven Sport 2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=301
Z頻道,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1130
博斯無限,https://hlspull.iptv8k.top/iptv/ubtv.php?id=381
博斯無限,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2797
博斯無限2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=426
博斯無限2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2798
博斯運動1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=379
博斯運動2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=380
亞洲旅遊,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2299
探索頻道,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2817
探索頻道,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1035
大陸尋奇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=102
動物星球,https://hlspull.iptv8k.top/iptv/ubtv.php?id=367
探索亞洲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=306
探索科學,https://hlspull.iptv8k.top/iptv/ubtv.php?id=343
國家野生（英）,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1038
探索EVE,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1036
TaiwanPlus,https://hlspull.iptv8k.top/iptv/ubtv.php?id=327
視納華仁紀實,https://hlspull.iptv8k.top/iptv/ubtv.php?id=91
美食星球,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3073
美食星球,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1360
EYE旅遊,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1494
探索動力DMAX,https://hlspull.iptv8k.top/iptv/ubtv.php?id=335
Globetrotter（環球旅遊）,https://hlspull.iptv8k.top/iptv/ubtv.php?id=114
Globetrotter（MOD）,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3259
MOMO親子,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2767
東森幼幼（備）,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2771
東森幼幼,https://hlspull.iptv8k.top/iptv/ubtv.php?id=371
東森亞洲呦呦,https://hlspull.iptv8k.top/iptv/ubtv.php?id=293
CN卡通,https://hlspull.iptv8k.top/iptv/ubtv.php?id=107
靖洋卡通,https://hlspull.iptv8k.top/iptv/ubtv.php?id=348
靖天卡通,https://hlspull.iptv8k.top/iptv/ubtv.php?id=344
大愛一臺,https://hlspull.iptv8k.top/iptv/ubtv.php?id=11
港澳頻道,#genre#
TVB翡翠,https://hlspull.iptv8k.top/iptv/ubtv.php?id=30
TVB明珠,https://hlspull.iptv8k.top/iptv/ubtv.php?id=391
TVB明珠,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2437
TVB plus,https://hlspull.iptv8k.top/iptv/ubtv.php?id=394
Viutv,https://hlspull.iptv8k.top/iptv/ubtv.php?id=72
TVB_POPC,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2818
TVB直播,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2743
TVB J2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2834
NOWTV,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1246
鳳凰香港,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2810
鳳凰衛視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2291
鳳凰衛視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2812
鳳凰资讯,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2811
鳳凰资讯,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2292
星空衛視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=56
廣東珠江,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1034
18台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2813
18台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=44
澳門蓮花,https://hlspull.iptv8k.top/iptv/ubtv.php?id=70
鳳凰電影,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2814
Viutv 6,https://hlspull.iptv8k.top/iptv/ubtv.php?id=176
創世電視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1317
澳亞衛視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=85
Euronews English,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2342
TVB亞洲劇,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1048
TVB粵語片,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1589
TVB功夫台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=168
TVB1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1242
TVB DRAMA,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1243
TVBJ1,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1244
TVBE,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1245
新時代東部,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1286
（時移）新時代東,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1287
新時代2,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1288
城市電視,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1289
TVB星河,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1079
TVB經典,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1083
新聞頻道,#genre#
三立新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=43
三立新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2794
三立新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2392
三立新聞+,https://hlspull.iptv8k.top/iptv/ubtv.php?id=320
東森新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1025
東森新聞4,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2766
東森新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1358
東森新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2393
東森亞洲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3
中天新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2394
中天新聞2台,https://hlspull.iptv8k.top/iptv/ubtv.php?id=152
中天新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2420
民視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2395
民視新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=13
TVBS新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2736
TVBS新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2
TVBS新聞,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2396
東森財經,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2397
東森財經,https://hlspull.iptv8k.top/iptv/ubtv.php?id=12
